algo,n,scen_name,mean_times,ci95_times,mean_expanded,ci95_expanded
astar,512,maze512-4-4.map,1.3791701348964125e-05,5.272301988334127e-06,3.1,0.45733333333333326
jps,512,maze512-4-4.map,6.571659978362731e-05,1.381209615953791e-05,2.4,0.3200666597236686
astar,512,maze512-4-5.map,1.3600000238511712e-05,3.170857707288039e-06,3.2,0.4889098985384617
jps,512,maze512-4-5.map,6.477090137195774e-05,1.323101826224914e-05,2.3,0.29939494540378153
astar,512,maze512-8-6.map,1.4745900261914358e-05,3.778011183772445e-06,3.5,0.935430976134055
jps,512,maze512-8-6.map,0.00018465399989509024,6.06565550693003e-05,2.4,0.3200666597236686
astar,512,maze512-8-7.map,1.2762500409735366e-05,2.818372132836738e-06,2.8,0.5695627952893146
jps,512,maze512-8-7.map,0.00022199980230652727,5.133991511369635e-05,2.2,0.2613333333333333
astar,512,maze512-32-7.map,1.62082003953401e-05,3.3667048663451053e-06,3.6,0.6662718831094572
jps,512,maze512-32-7.map,0.003584941499866545,0.0005829480446887531,2.4,0.3200666597236686
astar,512,maze512-32-6.map,1.3720899005420506e-05,2.9214834433113393e-06,3.4,0.7839999999999999
jps,512,maze512-32-6.map,0.0027002834984159564,0.0008197154536292584,2.4,0.3200666597236686
astar,512,maze512-2-0.map,7.516600453527644e-06,3.2082640398671326e-06,2.6,0.9331466479962657
jps,512,maze512-2-0.map,1.791239992599003e-05,7.611109076689969e-06,1.9,0.3518307673994543
astar,512,maze512-2-1.map,1.1129101039841771e-05,3.388223442951208e-06,3.0,0.6533333333333333
jps,512,maze512-2-1.map,1.7612399824429302e-05,5.52491045339188e-06,2.3,0.4183374501789461
astar,512,maze512-1-4.map,9.20420279726386e-06,2.6067942300047284e-06,3.0,0.6533333333333333
jps,512,maze512-1-4.map,1.244169834535569e-05,3.801831234865674e-06,2.4,0.4333723059397722
astar,512,maze512-1-5.map,1.0758399002952502e-05,2.5415768297431245e-06,3.4,0.6662718831094573
jps,512,maze512-1-5.map,1.3646099978359416e-05,3.1266792050198806e-06,2.5,0.43826932358995874
astar,512,maze512-16-0.map,1.7183300951728597e-05,3.896870843575273e-06,3.4,0.7839999999999999
jps,512,maze512-16-0.map,0.000835491697944235,0.00020121754646618142,2.5,0.32666666666666666
astar,512,maze512-16-1.map,1.88666999747511e-05,3.5251213407963514e-06,4.0,0.8264085618573364
jps,512,maze512-16-1.map,0.000737637600832386,0.0002904776128581524,2.7,0.29939494540378153
astar,512,maze512-1-9.map,1.0066599497804418e-05,2.9943801843794045e-06,2.9,0.7420440238512357
jps,512,maze512-1-9.map,1.1400201037758961e-05,4.671081668849458e-06,2.2,0.4889098985384617
astar,512,maze512-1-8.map,9.425100142834707e-06,3.039985658062089e-06,2.3,0.6565918739132315
jps,512,maze512-1-8.map,1.0708199988584966e-05,4.830110183516957e-06,1.9,0.45733333333333326
astar,512,maze512-1-3.map,1.156259822892025e-05,3.81833745891162e-06,3.3,0.588
jps,512,maze512-1-3.map,1.3295800454216077e-05,3.774649817503411e-06,2.4,0.3200666597236686
astar,512,maze512-1-2.map,8.212499960791319e-06,2.2821653817868106e-06,2.5,0.6694674500426938
jps,512,maze512-1-2.map,1.0745799954747781e-05,3.882757297442414e-06,2.1,0.45733333333333326
astar,512,maze512-16-7.map,1.2895697727799415e-05,1.912046102236688e-06,3.1,0.3518307673994543
jps,512,maze512-16-7.map,0.0007349081010033842,0.0001491827697224032,2.1,0.19599999999999998
astar,512,maze512-16-6.map,1.2875101674580947e-05,2.6867864754785626e-06,3.3,0.7186666666666666
jps,512,maze512-16-6.map,0.0009094708992051892,0.00023714955686487998,2.3,0.29939494540378153
astar,512,maze512-8-1.map,1.170430114143528e-05,2.6735798726350426e-06,3.1,0.6163534339610315
jps,512,maze512-8-1.map,0.0002748084007180296,7.366431903483001e-05,2.3,0.29939494540378153
astar,512,maze512-8-0.map,1.422080022166483e-05,3.1079670619394358e-06,3.7,0.7186666666666666
jps,512,maze512-8-0.map,0.00020737079903483392,6.231987866649245e-05,2.6,0.4333723059397722
astar,512,maze512-4-3.map,1.4145699969958514e-05,3.1908786967837935e-06,3.5,0.6694674500426938
jps,512,maze512-4-3.map,7.614560163347051e-05,2.4178940418162744e-05,2.3,0.29939494540378153
astar,512,maze512-4-2.map,1.0487502004252747e-05,3.3831989619519062e-06,2.7,0.7186666666666666
jps,512,maze512-4-2.map,4.660430131480098e-05,1.786976016092527e-05,2.1,0.45733333333333326
astar,512,maze512-2-7.map,8.979100675787776e-06,4.250648937324709e-06,2.8,1.0036697110548314
jps,512,maze512-2-7.map,1.776689969119616e-05,8.42698251799931e-06,2.1,0.5426994257106476
astar,512,maze512-2-6.map,9.845801105257124e-06,2.315310464544667e-06,3.2,0.816013071790724
jps,512,maze512-2-6.map,1.9787700875895097e-05,3.264886970349013e-06,2.2,0.2613333333333333
astar,512,maze512-32-0.map,1.6741600120440125e-05,4.153504804355962e-06,3.5,0.6694674500426938
jps,512,maze512-32-0.map,0.0032047749009507243,0.0008208029846190167,2.3,0.29939494540378153
astar,512,maze512-32-1.map,1.6591700114076956e-05,4.082856347091308e-06,3.9,0.7974949668946019
jps,512,maze512-32-1.map,0.004089324999949895,0.0016750934210371861,2.3,0.29939494540378153
astar,512,maze512-4-9.map,1.0279098933096976e-05,3.710814533850205e-06,3.0,0.8765386471799175
jps,512,maze512-4-9.map,6.411219874280505e-05,1.2157044945164007e-05,2.4,0.3200666597236686
astar,512,maze512-4-8.map,1.2429199705366045e-05,2.8886980694757814e-06,3.7,0.8789701044088156
jps,512,maze512-4-8.map,5.371660081436858e-05,1.1958322179065734e-05,2.3,0.29939494540378153
astar,512,maze512-1-7.map,5.545899330172688e-06,2.2164587688146964e-06,2.8,0.816013071790724
jps,512,maze512-1-7.map,7.762499444652349e-06,3.448562065812444e-06,2.1,0.5426994257106476
astar,512,maze512-1-6.map,7.1666014264337715e-06,1.5526071295830008e-06,3.4,0.5987898908075631
jps,512,maze512-1-6.map,1.1475099745439365e-05,3.3703332727029172e-06,2.6,0.3200666597236686
astar,512,maze512-16-3.map,1.5179099864326418e-05,5.092968689047027e-06,4.1,1.1850393336181806
jps,512,maze512-16-3.map,0.0008087125002930407,0.0003143216752247209,2.5,0.43826932358995874
astar,512,maze512-16-2.map,1.596240181243047e-05,3.2854113341848024e-06,3.6,0.8862244511283685
jps,512,maze512-16-2.map,0.0010959749983157963,0.0005856713334230782,2.3,0.29939494540378153
astar,512,maze512-16-9.map,1.5587398956995456e-05,3.957218882020753e-06,3.3,0.510269645492568
jps,512,maze512-16-9.map,0.0006718542004819028,0.00016646598756026178,2.3,0.29939494540378153
astar,512,maze512-16-8.map,1.6183302068384365e-05,2.9120174034718816e-06,4.3,0.7757903496864772
jps,512,maze512-16-8.map,0.0008655291007016785,0.0002695205647444401,2.7,0.29939494540378153
astar,512,maze512-2-9.map,9.37069853534922e-06,2.2882309265724407e-06,3.1,0.6821000252488226
jps,512,maze512-2-9.map,2.589169962448068e-05,5.957178222679419e-06,2.3,0.4183374501789461
astar,512,maze512-2-8.map,1.0725000174716115e-05,3.1836585188542405e-06,3.1,0.7974949668946019
jps,512,maze512-2-8.map,2.450010069878772e-05,8.394764500510899e-06,2.5,0.43826932358995874
astar,512,maze512-4-7.map,1.2762301776092499e-05,4.303448506486981e-06,3.2,1.0036697110548314
jps,512,maze512-4-7.map,5.078340036561713e-05,9.688641727875786e-06,2.3,0.29939494540378153
astar,512,maze512-4-6.map,1.4312499115476384e-05,2.8127223207293325e-06,3.9,0.7974949668946019
jps,512,maze512-4-6.map,7.580460005556233e-05,1.537222719769954e-05,2.5,0.32666666666666666
astar,512,maze512-8-5.map,1.3883299834560603e-05,4.2974183230503665e-06,3.8,0.9601999791710057
jps,512,maze512-8-5.map,0.00019738730043172836,5.923282186324238e-05,2.5,0.43826932358995874
astar,512,maze512-8-4.map,1.2358300591586157e-05,2.342716681367193e-06,3.4,0.5226666666666666
jps,512,maze512-8-4.map,0.00021238739864202217,7.779223268021028e-05,2.6,0.3200666597236686
astar,512,maze512-32-4.map,1.3908299297327176e-05,3.7902754643837003e-06,3.4,0.7839999999999999
jps,512,maze512-32-4.map,0.002873670800909167,0.000865622964308112,2.5,0.32666666666666666
astar,512,maze512-32-5.map,1.47668004501611e-05,3.7014776886575182e-06,3.7,0.8789701044088156
jps,512,maze512-32-5.map,0.0034458417998394,0.0011932633877507132,2.3,0.29939494540378153
astar,512,maze512-2-3.map,1.0908301192102954e-05,3.579233381056714e-06,3.2,0.7619110475931192
jps,512,maze512-2-3.map,2.22709022636991e-05,6.565533478584468e-06,2.3,0.29939494540378153
astar,512,maze512-2-2.map,8.987501496449113e-06,1.595554929431636e-06,2.3,0.4183374501789461
jps,512,maze512-2-2.map,2.0524999126791953e-05,3.511858878251006e-06,2.1,0.19599999999999998
astar,512,maze512-8-8.map,1.1383299715816975e-05,2.7535907567131574e-06,3.1,0.6163534339610315
jps,512,maze512-8-8.map,0.00020260429955669678,6.429050449692505e-05,2.4,0.3200666597236686
astar,512,maze512-8-9.map,1.435430021956563e-05,2.782989112886309e-06,3.8,0.6401333194473372
jps,512,maze512-8-9.map,0.00026880420045927167,6.782497216473441e-05,2.7,0.4183374501789461
astar,512,maze512-32-9.map,1.5891800285317003e-05,4.800979627960718e-06,3.4,0.9778197970769233
jps,512,maze512-32-9.map,0.004326504198979819,0.0015620611908575674,2.4,0.3200666597236686
astar,512,maze512-32-8.map,1.4358200132846832e-05,2.7885200815495693e-06,3.4,0.5226666666666666
jps,512,maze512-32-8.map,0.003882870699453633,0.0005806832561128742,2.4,0.3200666597236686
astar,512,maze512-8-2.map,1.2387599417706951e-05,4.392468341773989e-06,3.4,0.9778197970769233
jps,512,maze512-8-2.map,0.00020492469921009615,6.777164656012719e-05,2.2,0.2613333333333333
astar,512,maze512-8-3.map,1.2091699318261817e-05,3.264967069121791e-06,3.3,0.7186666666666666
jps,512,maze512-8-3.map,0.00022040429903427138,9.5333105401604e-05,2.4,0.4333723059397722
astar,512,maze512-4-0.map,1.1554401862667873e-05,3.808671992504947e-06,3.3,0.8789701044088156
jps,512,maze512-4-0.map,5.232089970377274e-05,1.8096728390892917e-05,2.4,0.4333723059397722
astar,512,maze512-4-1.map,1.2654100282816217e-05,2.2665529693825353e-06,3.5,0.5267341728888385
jps,512,maze512-4-1.map,7.208760071080178e-05,1.7920203413348002e-05,2.6,0.4333723059397722
astar,512,maze512-2-4.map,9.079099982045591e-06,3.7470928442101654e-06,2.8,0.9601999791710057
jps,512,maze512-2-4.map,1.8045999604510142e-05,7.057002282494229e-06,2.1,0.45733333333333326
astar,512,maze512-2-5.map,1.1520799307618291e-05,3.0281060422463083e-06,3.1,0.7974949668946019
jps,512,maze512-2-5.map,2.1595598809653893e-05,4.915341950209521e-06,2.3,0.29939494540378153
astar,512,maze512-32-3.map,1.5958299627527595e-05,4.0813175468859e-06,3.4,0.7839999999999999
jps,512,maze512-32-3.map,0.0026707750002969988,0.0005426835074664046,2.4,0.3200666597236686
astar,512,maze512-32-2.map,1.5170899860095233e-05,3.2808472296012114e-06,3.4,0.7275212100764561
jps,512,maze512-32-2.map,0.003957962600543397,0.0011112901121006445,2.4,0.3200666597236686
astar,512,maze512-1-0.map,6.674900942016393e-06,1.7593505647353068e-06,2.7,0.588
jps,512,maze512-1-0.map,9.949799277819693e-06,3.1578870436093894e-06,2.2,0.39199999999999996
astar,512,maze512-1-1.map,8.962600259110331e-06,2.878550515718995e-06,3.1,0.6821000252488226
jps,512,maze512-1-1.map,1.1179201101185754e-05,3.4580197682344946e-06,2.3,0.4183374501789461
astar,512,maze512-16-4.map,1.2200000492157415e-05,2.933860985404512e-06,3.0,0.5843590981199449
jps,512,maze512-16-4.map,0.0009247291010979098,0.00023786851681164146,2.3,0.29939494540378153
astar,512,maze512-16-5.map,1.4845799887552857e-05,3.778621660508452e-06,3.8,0.9146666666666665
jps,512,maze512-16-5.map,0.0009343669000372757,0.0003550158915167378,2.6,0.3200666597236686
